state,Total population(lks),Total number of CCE,Total number of CCP,CCE per lakh population,CCE per CCP
Andaman and Nicobar Islands,417938.4,75,44,19,2
Andhra Pradesh,46566059.65,1599.5,1117,3.78250591,1.432408236
Telangana,46566059.65,1599.5,1117,3.78250591,1.432408236
Arunachal Pradesh,1520872.1,393,164,28,2
Assam,34286199.2,2120,801,7,3
Bihar,114185100.7,2069,586,2,4
Chandigarh,1160154.6,8,59,1,0
Chhattisgarh,28094215.6,1340,513,5,3
Dadra and Nagar Haveli and Daman and Diu,644340.4,62,22,22,5
Delhi,18428558.5,573,400,3,1
Goa,1603495.3,105,37,7,3
Gujarat,66421990.8,3402,1585,6,2
Haryana,27888389.1,1696,586,7,3
Himachal Pradesh,7542159.9,946,452,14,2
Jammu & Kashmir,13803818.6,1113,579,9,2
Jharkhand,36262861.8,842,220,3,4
Karnataka,67243774.4,3810,2364,6,2
Kerala,36726444.7,2268,1206,7,2
Lakshadweep,70871.9,10,3,16,3
Madhya Pradesh,79857321.5,3756,1193,5,3
Maharashtra,123610269.2,9436,3643,8,3
Manipur,2993931.6,166,87,6,2
Meghalaya,3260407.7,380,141,13,3
Mizoram,1200115.4,172,80,16,2
Nagaland,2178662.2,194,131,10,1
Odisha,46142093.8,3032,1178,7,3
Puducherry,1368910.4,87,51,7,2
Punjab,30474659.6,1749,740,6,2
Rajasthan,75483113.2,6944,2189,10,3
Sikkim,668456.8,189,34,31,6
Tamil Nadu,79352853.8,4199,1891,6,2
Tripura,4038135.2,258,119,7,2
Uttar Pradesh,219539624.7,5549,1162,3,5
Uttarakhand,11128427.2,839,324,8,3
West Bengal,100482509.6,3781,1566,4,2
