state,Cold Chain Points,Walk in Coolers,Walk in Freezers,Ice Lined Refrigerator,Deep Freezers,Solar Units
Andaman and Nicobar Islands,40,1,0,53,56,6
Andhra Pradesh,1650,9,6,2307,2109,0
Arunachal Pradesh,193,2,0,282,249,49
Assam,792,5,2,1186,1033,26
Bihar,678,19,4,1655,931,5
Chandigarh,51,1,0,69,58,0
Chhattisgarh,630,5,2,908,1017,18
Dadara and Nagar Haveli and Daman and Diu,21,0,0,56,49,0
Delhi,629,1,0,817,478,0
Goa,41,1,0,77,61,0
Gujarat,2291,9,2,2597,2467,1
Haryana,682,8,2,1089,887,0
Himachal Pradesh,416,5,1,565,579,4
Jammu and Kashmir,681,5,1,1032,831,16
Jharkhand,275,5,3,686,699,5
Karnataka,2870,9,5,3776,3495,0
Kerala,1251,6,1,2106,1832,0
Lakshadweep,5,0,0,26,15,0
Madhya Pradesh,1214,11,5,2311,2164,14
Maharashtra,3257,18,6,4408,4199,12
Manipur,123,2,0,109,99,27
Meghalaya,189,3,0,207,230,15
Mizoram,85,1,0,131,111,1
Nagaland,120,1,0,122,124,20
Odisha,1224,13,2,1793,1712,18
Puducherry,56,0,0,77,76,0
Punjab,750,6,3,1149,1042,0
Rajasthan,2405,14,3,3522,3472,18
Sikkim,34,0,0,107,88,6
Tamil Nadu,2599,18,3,2785,2677,0
Telangana,897,7,3,1201,1139,0
Tripura,160,2,1,191,217,0
Uttar Pradesh,1308,30,10,3574,4060,17
Uttarakhand,373,5,1,698,609,16
West Bengal,942,18,4,2554,1927,0
