state,full_imm_percent
Andaman and Nicobar Islands,83.6
Andhra Pradesh,66.7
Arunachal Pradesh,13.3
Assam,50.7
Bihar,41.4
Chandigarh,73
Chhattisgarh,59.3
Dadra and Nagar Haveli and Daman and Diu,69.4
Delhi,67.3
Goa,89.8
Gujarat,54.8
Haryana,59.6
Himachal Pradesh,82.2
Jammu and Kashmir,62.2
Jharkhand,54
Karnataka,76.7
Kerala,79.6
Lakshadweep,86.2
Madhya Pradesh,36
Maharashtra,69
Manipur,47.4
Meghalaya,33.1
Mizoram,54.2
Nagaland,53.5
Odisha,62.3
Puducherry,80.2
Punjab,79.8
Rajasthan,48.7
Sikkim,76.8
Telangana,66.7
Tamil Nadu,81.6
Tripura,38.2
Uttar Pradesh,30.2
Uttarakhand,62.9
West Bengal,75.7
